CSV_ROW,STATUS,ANEXO,PORTE,POTENCIAL_POLUIDOR,TLP,TLI,TLO,VALORES_ENCONTRADOS_NO_PDF_PARA_CHAVE
58,MATCH_EXATO,ANEXO XLVI,Pequeno,Baixo,10.0,15.0,30.0,
59,CHAVE_NAO_ENCONTRADA_NO_PDF,ANEXO XLVI,Pequeno,Médio,10.0,20.0,50.0,
60,MATCH_EXATO,ANEXO XLVI,Grande,Baixo,10.0,25.0,70.0,
61,MATCH_EXATO,ANEXO XLVI,Excepcional,Baixo,15.0,40.0,100.0,
62,CHAVE_NAO_ENCONTRADA_NO_PDF,ANEXO XV,-,Alto,10.0,20.0,40.0,
63,MATCH_EXATO,ANEXO XV,Pequeno,Alto,10.0,25.0,60.0,
64,CHAVE_OK_VALOR_DIVERGENTE,ANEXO XV,Pequeno,Alto,10.0,35.0,100.0,TLP=10.0 TLI=25.0 TLO=60.0
65,MATCH_EXATO,ANEXO XV,Grande,Alto,10.0,60.0,150.0,
66,MATCH_EXATO,ANEXO XV,Excepcional,Alto,10.0,90.0,250.0,
67,MATCH_EXATO,ANEXO XVI,Mínimo,Alto,10.0,12.0,12.0,
68,MATCH_EXATO,ANEXO XVI,Pequeno,Alto,15.0,25.0,40.0,
69,CHAVE_NAO_ENCONTRADA_NO_PDF,ANEXO XVI,Pequeno,Médio,20.0,50.0,150.0,
70,MATCH_EXATO,ANEXO XVI,Grande,Alto,30.0,100.0,300.0,
71,CHAVE_NAO_ENCONTRADA_NO_PDF,ANEXO XVII,Pequeno,Alto,10.0,60.0,120.0,
72,CHAVE_NAO_ENCONTRADA_NO_PDF,ANEXO XVII,Pequeno,Alto,10.0,80.0,170.0,
73,CHAVE_NAO_ENCONTRADA_NO_PDF,ANEXO XVII,Pequeno,Baixo,10.0,25.0,50.0,
74,CHAVE_NAO_ENCONTRADA_NO_PDF,ANEXO XVII,Pequeno,Médio,10.0,20.0,60.0,
75,CHAVE_NAO_ENCONTRADA_NO_PDF,ANEXO XVII,Pequeno,Médio,10.0,45.0,120.0,
76,CHAVE_OK_VALOR_DIVERGENTE,ANEXO XVII,Médio,Alto,10.0,40.0,80.0,TLP=10.0 TLI=80.0 TLO=170.0
77,MATCH_EXATO,ANEXO XVII,Grande,Alto,10.0,100.0,230.0,
78,CHAVE_OK_VALOR_DIVERGENTE,ANEXO XVII,Grande,Baixo,10.0,35.0,100.0,TLP=10.0 TLI=55.0 TLO=150.0
79,MATCH_EXATO,ANEXO XVII,Grande,Médio,10.0,60.0,180.0,
80,CHAVE_NAO_ENCONTRADA_NO_PDF,ANEXO XVII,Excepcional,Alto,10.0,150.0,300.0,
81,MATCH_EXATO,ANEXO XVIII,Mínimo,Médio,2.0,5.0,8.0,
82,MATCH_EXATO,ANEXO XVIII,Pequeno,Médio,5.0,7.0,15.0,
83,CHAVE_OK_VALOR_DIVERGENTE,ANEXO XVIII,Pequeno,Médio,10.0,15.0,40.0,TLP=5.0 TLI=7.0 TLO=15.0
84,MATCH_EXATO,ANEXO XVIII,Grande,Médio,10.0,20.0,60.0,
85,MATCH_EXATO,ANEXO XVIII,Excepcional,Médio,10.0,25.0,100.0,
86,MATCH_EXATO,ANEXO XXI,Pequeno,Médio,10.0,10.0,10.0,
87,CHAVE_OK_VALOR_DIVERGENTE,ANEXO XXI,Pequeno,Médio,15.0,15.0,15.0,TLP=10.0 TLI=10.0 TLO=10.0
88,MATCH_EXATO,ANEXO XXI,Grande,Médio,30.0,30.0,30.0,
89,CHAVE_OK_VALOR_DIVERGENTE,ANEXO XXI,Grande,Médio,50.0,50.0,50.0,TLP=30.0 TLI=30.0 TLO=30.0
90,MATCH_EXATO,ANEXO XXIV,Mínimo,Alto,30.0,125.0,125.0,
91,MATCH_EXATO,ANEXO XXIV,Pequeno,Alto,60.0,160.0,160.0,
92,MATCH_EXATO,ANEXO XXIV,Grande,Alto,150.0,380.0,1100.0,
93,MATCH_EXATO,ANEXO XXVII,Mínimo,Alto,10.0,15.0,40.0,
94,CHAVE_OK_VALOR_DIVERGENTE,ANEXO XXVII,Mínimo,Baixo,5.0,5.0,5.0,TLP=8.0 TLI=8.0 TLO=8.0
95,MATCH_EXATO,ANEXO XXVII,Mínimo,Médio,10.0,10.0,25.0,
96,MATCH_EXATO,ANEXO XXVII,Pequeno,Alto,10.0,30.0,60.0,
97,CHAVE_OK_VALOR_DIVERGENTE,ANEXO XXVII,Pequeno,Alto,10.0,45.0,90.0,TLP=10.0 TLI=30.0 TLO=60.0
98,CHAVE_OK_VALOR_DIVERGENTE,ANEXO XXVII,Pequeno,Baixo,8.0,8.0,8.0,TLP=10.0 TLI=25.0 TLO=25.0
99,MATCH_EXATO,ANEXO XXVII,Pequeno,Médio,10.0,15.0,30.0,
100,CHAVE_OK_VALOR_DIVERGENTE,ANEXO XXVII,Pequeno,Médio,10.0,25.0,25.0,TLP=10.0 TLI=15.0 TLO=30.0
101,CHAVE_OK_VALOR_DIVERGENTE,ANEXO XXVII,Pequeno,Médio,10.0,25.0,40.0,TLP=10.0 TLI=15.0 TLO=30.0
102,MATCH_EXATO,ANEXO XXVII,Grande,Alto,10.0,60.0,120.0,
103,CHAVE_OK_VALOR_DIVERGENTE,ANEXO XXVII,Grande,Baixo,10.0,35.0,35.0,TLP=10.0 TLI=55.0 TLO=55.0
104,MATCH_EXATO,ANEXO XXVII,Grande,Médio,10.0,35.0,50.0,
105,MATCH_EXATO,ANEXO XXVII,Excepcional,Alto,10.0,90.0,140.0,
106,CHAVE_NAO_ENCONTRADA_NO_PDF,ANEXO XXVII,Excepcional,Baixo,10.0,55.0,55.0,
107,MATCH_EXATO,ANEXO XXVII,Excepcional,Médio,10.0,45.0,100.0,
108,MATCH_EXATO,ANEXO XXVIII,-,Alto,100.0,100.0,120.0,
109,MATCH_EXATO,ANEXO XXXII,Mínimo,Alto,80.0,125.0,300.0,
110,CHAVE_NAO_ENCONTRADA_NO_PDF,ANEXO XXXIX,Pequeno,Alto,30.0,60.0,75.0,
111,CHAVE_NAO_ENCONTRADA_NO_PDF,ANEXO XXXIX,Pequeno,Alto,45.0,100.0,120.0,
112,CHAVE_NAO_ENCONTRADA_NO_PDF,ANEXO XXXIX,Médio,Alto,15.0,45.0,45.0,
113,CHAVE_NAO_ENCONTRADA_NO_PDF,ANEXO XXXIX,Grande,Alto,100.0,160.0,380.0,
114,CHAVE_NAO_ENCONTRADA_NO_PDF,ANEXO XXXIX,Grande,Alto,150.0,270.0,620.0,
115,CHAVE_NAO_ENCONTRADA_NO_PDF,ANEXO XXXVIII,Pequeno,Alto,30.0,40.0,1.0,
116,CHAVE_NAO_ENCONTRADA_NO_PDF,ANEXO XXXVIII,Pequeno,Alto,40.0,50.0,1.0,
117,CHAVE_NAO_ENCONTRADA_NO_PDF,ANEXO XXXVIII,Grande,Alto,50.0,60.0,1.0,
118,CHAVE_NAO_ENCONTRADA_NO_PDF,ANEXO XXXVIII,Grande,Alto,60.0,70.0,1.0,
