ITEM,Atividade,UNIDADE_DE_MEDIDA,PORTE_MINIMO,PORTE_PEQUENO,PORTE_MEDIO,PORTE_GRANDE,PORTE_EXCEPCIONAL,POTENCIAL_POLUIDOR,ANEXO_OU_TAXA
6.1,Abate de bovinos e preparação de produtos de carne,Capacidade de abate (dia),até10,"de 10,0001 até50","De 50,0001 até300","de 300,0001 até800",acimade800,ALTO,ANEXO XII
6.2,Abate de suínos e preparação de produtos de carne,área útil em m²,até1.500,"de 1.500,0001 até3.000","de 3.000,0001 até10.000","de 10.000,0001 até40.000",acimade40.000,ALTO,ANEXO XIII
6.3,Abate de equinos e preparação de produtos de carne,área útil em m²,até1.500,"de 1.500,0001 até3.000","de 3.000,0001 até10.000","de 10.000,0001 até40.000",acimade40.000,ALTO,ANEXO XIII
6.4,Abate de ovinos e caprinos e preparação de produtos de carne,área útil em m²,até1.500,"de 1.500,0001 até3.000","de 3.000,0001 até10.000","de 10.000,0001 até40.000",acimade40.000,ALTO,ANEXO XIII
6.5,Abate de bubalinos e preparação de produtos de carne,área útil em m²,até1.500,"de 1.500,0001 até3.000","de 3.000,0001 até10.000","de 10.000,0001 até40.000",acimade40.000,ALTO,ANEXO XIII
6.6,Abate de aves e preparação de produtos de carne,área útil em m²,até1.500,"de 1.500,0001 até3.000","de 3.000,0001 até10.000","de 10.000,0001 até40.000",acimade40.000,ALTO,ANEXO XIII
6.7,Abate de pequenos animais e preparação de produtos de carne,área útil em m²,até1.500,"de 1.500,0001 até3.000","de 3.000,0001 até10.000","de 10.000,0001 até40.000",acimade40.000,ALTO,ANEXO XIII
6.8,"Preparação de carne, banha e produtos de salsicharia não associadas ao abate",área útil em m²,até500,"de 500,0001 até1.000","de 1.000,0001 até2.500","de2.500,0001 até5.000",acimade5.000,BAIXO,ANEXO XIII
6.10,Preparação e conservação do pescado e fabricação de conservas de peixes,área útil em m²,até500,"de 500,0001 até1.000","de 1.000,0001 até2.500","de2.500,0001 até5.000",acimade5.000,MÉDIO,ANEXO XIII
6.11,"Fabricação de farinhas de carnes,sangue,osso,peixes,penas e vísceras e produção de sebo",área útil em m²,até500,"de 500,0001 até1.000","de 1.000,0001 até2.500","de2.500,0001 até5.000",acimade5.000,MÉDIO,ANEXO XIII
7,"PROCESSAMENTO, PRESERVAÇÃO E PRODUÇÃO DE CONSERVAS DE FRUTAS, LEGUMES E OUTROS VEGETAIS",,,,,,,,
7.1,"Processamento, preservação e produção de conservas de frutas",área útil em m²,até500,"de 500,0001 até1.000","de 1.000,0001 até2.500","de2.500,0001 até5.000",acimade5.000,BAIXO,ANEXO XIII
7.2,"Processamento, preservação e produção de conservas de legumes e outros vegetais",área útil em m²,até500,"de 500,0001 até1.000","de 1.000,0001 até2.500","de2.500,0001 até5.000",acimade5.000,BAIXO,ANEXO XIII
7.3,Produção de sucosde frutas ede legumes,área útil em m²,até500,"de 500,0001 até1.000","de 1.000,0001 até2.500","de2.500,0001 até5.000",acimade5.000,BAIXO,ANEXO XIII
8,PRODUÇÃO DE ÓLEOS E GORDURAS VEGETAIS E ANIMAIS,,,,,,,,
8.1,Produção de óleos vegetais em bruto,área útil em m²,até500,"de 500,0001 até1.000","de 1.000,0001 até2.500","de2.500,0001 até5.000",acimade5.000,MÉDIO,ANEXO XIII
8.2,Refino de óleos vegetais,área útil em m²,até500,"de 500,0001 até1.000","de 1.000,0001 até2.500","de2.500,0001 até5.000",acimade5.000,MÉDIO,ANEXO XIII
8.3,Preparação de margarina e outras gorduras vegetais e de óleos de origem animal não comestíveis,área útil em m²,até500,"de 500,0001 até1.000","de 1.000,0001 até2.500","de2.500,0001 até5.000",acimade5.000,MÉDIO,ANEXO XIII
9,PRODUÇÃO DE LATICÍNIOS,,,,,,,,
9.1,Pasteurização de leite in natura,Capacidade de produção (L/dia),até20.000,"de 20.000,0001 até40.000","de 40.000,0001 até60.000","de 60.000,0001 até100.000",acimade100.000,ALTO,ANEXO XIV
9.2,Fabricação de produtos do laticínio,Capacidade de industrialização (L/dia),até20.000,"de 20.000,0001 até40.000","de 40.000,0001 até60.000","de 60.000,0001 até100.000",acimade100.000,ALTO,ANEXO XIV
9.3,Fabricação de sorvetes,área útil em m²,até500,"de 500,0001 até1.250","de 1.250,0001 até5.000.000","de 5.000,0001 até10.000",acimade10.000,MÉDIO,ANEXO XIV
10,"MOAGEM, FABRICAÇÃO DE PRODUTOS AMILÁCEOS E DE RAÇÕES BALANCEADAS PARA ANIMAIS",,,,,,,,
10.1,Beneficiamento e fabricação de produtos de arroz,área útil em m²,até1.000,"de 1000,0001 até5.000","de 5.000,0001 até10.000","de 10.000,0001 até30.000",acimade30.000,BAIXO,ANEXO XIII
10.2,Moagem de trigo e fabricação de derivados,área útil em m²,até1.000,"de 1000,0001 até5.000","de 5.000,0001 até10.000","de 10.000,0001 até30.000",acimade30.000,BAIXO,ANEXO XIII
10.3,Produção de farinha de mandioca e derivados,área útil em m²,até1.000,"de 1000,0001 até5.000","de 5.000,0001 até10.000","de 10.000,0001 até30.000",acimade30.000,BAIXO,ANEXO XIII
10.4,"Fabricação de fubá, farinha e outros derivados de milhoexceto óleo",área útil em m²,até1.000,"de 1000,0001 até5.000","de 5.000,0001 até10.000","de 10.000,0001 até30.000",acimade30.000,BAIXO,ANEXO XIII
10.5,Fabricação de amidos e féculas de vegetais e fabricação de óleos de milho,área útil em m²,até1.000,"de 1000,0001 até5.000","de 5.000,0001 até10.000","de 10.000,0001 até30.000",acimade30.000,MÉDIO,ANEXO XIII
10.6,Fabricação de rações balanceadas para animais com fins comerciais.*,área útil em m²,até1.000,"de 1000,0001 até5.000","de 5.000,0001 até10.000","de 10.000,0001 até30.000",acimade30.000,BAIXO,ANEXO XIII
10.7,"Beneficiamento, moagem e preparação de outros produtos de origem vegetal com fins comerciais.*",área útil em m²,até1.000,"de 1000,0001 até5.000","de 5.000,0001 até10.000","de 10.000,0001 até30.000",acimade30.000,BAIXO,ANEXO XIII
11,FABRICAÇÃO E REFINO DE AÇÚCAR,,,,,,,,
11.1,Usinas de açúcar,área útil em m²,até1.000,"de 1.000,0001 até3.000","de 3.000,0001 até6.000","de6.000,0001 até12.000",acimade12.000,ALTO,ANEXO XIII
11.2,Refino e moagem de açúcar de cana,área útil em m²,até1.000,"de 1.000,0001 até3.000","de 3.000,0001 até6.000","de6.000,0001 até12.000",acimade12.000,ALTO,ANEXO XIII
11.3,Fabricação de açúcar de cereais(de xtrose)e de beterraba,área útil em m²,até1.000,"de 1.000,0001 até3.000","de 3.000,0001 até6.000","de6.000,0001 até12.000",acimade12.000,ALTO,ANEXO XIII
11.4,Fabricação de açúcar de Stévia,área útil em m²,até1.000,"de 1.000,0001 até3.000","de 3.000,0001 até6.000","de6.000,0001 até12.000",acimade12.000,ALTO,ANEXO XIII
12,TORREFAÇÃO E MOAGEM DE CAFÉ,,,,,,,,
12.1,Torrefação e moagem de café,área útil em m²,até2.000,"de 2.000,0001 até5.000","de 5.000,0001 até10.000","de 10.000,0001 até20.000",acimade20.000,MEDIO,ANEXO XIII
12.2,Fabricação de café solúvel,área útil em m²,até1.000,"de 1.000,0001 até2.000","de 2.000,0001 até5.000","de5.000,0001 até10.000",acimade10.000,BAIXO,ANEXO XIII
13,FABRICAÇÃO DE OUTROS PRODUTOS ALIMENTÍCIOS,,,,,,,,
13.1,Fabricação de biscoitos e bolachas(exceto produção artesanal).,área útil em m²,até500,"de 500,0001 até1.000","de 1.000,0001 até5.000","de5.000,0001 até10.000",acimade10.000,MÉDIO,ANEXO XIII
13.2,Produção de derivados do cacau e elaboração de chocolates,área útil em m²,até1.000,"de 1.000,0001 até2.000","de 2.000,0001 até5.000","de5.000,0001 até10.000",acimade10.000,MÉDIO,ANEXO XIII
13.3,Produção de balas e semelhantes e de frutas cristalizadas,área útil em m²,até1.000,"de 1.000,0001 até2.000","de 2.000,0001 até5.000","de5.000,0001 até10.000",acimade10.000,MÉDIO,ANEXO XIII
13.4,Fabricação de massas alimentícias,área útil em m²,até1.000,"de 1.000,0001 até2.000","de 2.000,0001 até5.000","de5.000,0001 até10.000",acimade10.000,MÉDIO,ANEXO XIII
13.5,"Preparação de especiarias, molhos, temperos e condimentos.",área útil em m²,até1.000,"de 1.000,0001 até2.000","de 2.000,0001 até5.000","de5.000,0001 até10.000",acimade10.000,MÉDIO,ANEXO XIII
13.6,"Preparação de produtos dietéticos, alimentos para crianças e outros alimentos conservados",área útil em m²,até1.000,"de 1.000,0001 até2.000","de 2.000,0001 até5.000","de5.000,0001 até10.000",acimade10.000,MÉDIO,ANEXO XIII
13.7,Fabricação de outros produtos alimentícios,área útil em m²,até1.000,"de 1.000,0001 até2.000","de 2.000,0001 até5.000","de5.000,0001 até10.000",acimade10.000,MÉDIO,ANEXO XIII
14,FABRICAÇÃO DE BEBIDAS,,,,,,,,
14.1,"Fabricação, retificação, homogeneização e mistura de aguardentes e outras bebidas destiladas",área útil em m²,até1.000,"de 1.000,0001 até3.000","de 3.000,0001 até10.000","de 10.000,0001 até30.000",acimade30.000,ALTO,ANEXO XV
14.2,Fabricação de vinho,área útil em m²,até1.000,"de 1.000,0001 até3.000","de 3.000,0001 até10.000","de 10.000,0001 até30.000",acimade30.000,ALTO,ANEXO XV
14.3,"Fabricação de malte, cervejas e chopes(com produção mensal acima de 15 mil litros)*",área útil em m²,até1.000,"de 1.000,0001 até3.000","de 3.000,0001 até10.000","de 10.000,0001 até30.000",acimade30.000,ALTO,ANEXO XV
14.4,Engarrafamento e gaseificação de águas minerais,área útil em m²,até1.000,"de 1.000,0001 até3.000","de 3.000,0001 até10.000","de 10.000,0001 até30.000",acimade30.000,ALTO,ANEXO XV
15,CURTIMENTO,,,,,,,,
15.1,Curtume,área útil em m²,até250,"de 250,0001 até2000","de 2000,0001 até10.000","de 10.000,0001 até30.000",acimade30.000,ALTO,ANEXO XVI
16,FABRICAÇÃO DE ARTIGOS PARA VIAGEM E ARTEFATOS DIVERSOS DE COURO,,,,,,,,
16.1,"Fabricação de malas, bolsas, valises e outros artefatos para viagem,de qualquer material",área útil em m²,até500,"de 500,0001 até2.000","de 2.000,0001 até4.000","de4.000,0001 até10.000",acimade10.000,BAIXO,ANEXO II
16.2,Fabricação de outros artefatos de couro,área útil em m²,até500,"de 500,0001 até2.000","de 2.000,0001 até4.000","de4.000,0001 até10.000",acimade10.000,BAIXO,ANEXO II
17,FABRICAÇÃO DE CALÇADOS,,,,,,,,
17.1,Fabricação de calçados de couro,área útil em m²,até500,"de 500,0001 até2.000","de 2.000,0001 até4.000","de4.000,0001 até10.000",acimade10.000,BAIXO,ANEXO II
17.2,Fabricação de tênis de qualquer material,área útil em m²,até500,"de 500,0001 até2.000","de 2.000,0001 até4.000","de4.000,0001 até10.000",acimade10.000,BAIXO,ANEXO II
17.3,Fabricação de calçados de plástico,área útil em m²,até500,"de 500,0001 até2.000","de 2.000,0001 até4.000","de4.000,0001 até10.000",acimade10.000,BAIXO,ANEXO II
17.4,Fabricação de calçados de outros materiais.,área útil em m²,até500,"de 500,0001 até2.000","de 2.000,0001 até4.000","de4.000,0001 até10.000",acimade10.000,BAIXO,ANEXO II
18,"FABRICAÇÃO DE PRODUTOS DE MADEIRA, CORTIÇA E MATERIAL TRANÇADOEXCETO MÓVEIS",,,,,,,,
18.1,Serraria com desdobramento de madeira,área útil em m²,até5.000,de 5.000 até10.000,"de 10.000,0001 até15.000",de15.000até 30.000,acimade30.000,ALTO,ANEXO XVII
18.2,Serraria sem desdobramento de madeira,área útil em m²,até1.000,"de 1.000,0001 até3.000","de 3.000,0001 até6.000","de6.000,0001 até10.000",acimade10.000,MÉDIO,ANEXO XVII
18.3,Preservação de madeira,área útil em m²,até1.000,"de 1.000,0001 até3.000","de 3.000,0001 até6.000","de6.000,0001 até10.000",acimade10.000,MÉDIO,ANEXO XVII
18.4,"Comercio varejista e atacadista de madeira, artefatos e produtos de rivados",área útil em m²,até1.000,"de1,0001até 3.500","de 3.500,0001 até7.000","de7.000,0001 até10.000",acimade10.000,MÉDIO,ANEXO XVII
18.5,"Fabricação de madeira laminada e de chapas de madeira compensada,prensada ou aglomerada",área útil em m²,até5.000,de 5.000 até10.000,"de 10.000,0001 até15.000",de15.000até 30.000,acimade30.000,ALTO,ANEXO XVII
18.6,"Fabricação de chapas de madeira compensada, prensada ou aglomerada– exceto com desdobro de madeira",área útil em m²,até1.000,"de1,0001até 3.500","de 3.500,0001 até7.000","de7.000,0001 até10.000",acimade10.000,MÉDIO,ANEXO XVII
18.7,Produção de casas de madeira pré fabricadas,área útil em m²,até750,"de 750,0001 até1.500","de 1.500,0001 até3.000","de3.000,0001 até6.000",acimade6.000,MÉDIO,ANEXO XVII
18.8,"Fabricação de esquadriasde madeira,venezianas e de peças de madeira para instalações industriais e comerciais",área útil em m²,até1.000,"de 1.000,0001 até3.000","de 3.000,0001 até6.000","de6.000,0001 até10.000",acimade10.000,MÉDIO,ANEXO XVII
18.9,Fabricação de outros artigos de carpintaria,área útil em m²,até1.000,"de 1.000,0001 até3.000","de 3.000,0001 até6.000","de6.000,0001 até10.000",acimade10.000,BAIXO,ANEXO XVII
18.1,Fabricação de artefatos de tanoaria e embalagens de madeira,área útil em m²,até1.000,"de 1.000,0001 até3.000","de 3.000,0001 até6.000","de6.000,0001 até10.000",acimade10.000,BAIXO,ANEXO XVII
18.11,"Fabricação de artefatos diversos de madeira,palha, cortiça e material trançado – exceto móveis",área útil em m²,até1.000,"de 1.000,0001 até3.000","de 3.000,0001 até6.000","de6.000,0001 até10.000",acimade10.000,BAIXO,ANEXO XVII
18.12,Desdobro e processamento de madeira exótica,Área útil em m²,Até1.000,"de 1.000,0001 até5.000","de 5.000,0001 até10.000","de 10.000,0001 até20.000",acimade20.000,BAIXO,ANEXO XVII
19,FABRICAÇÃO E BENEFICIAMENTO DE CARVÃO VEGETAL,,,,,,,,
19.1,Fabricação e beneficiamento de carvão vegetal,N° de fornos,até3,"de3,0001até 10","de 10,0001 até20","de 20,0001 até35",acimade35,MÉDIO,ANEXO XVIII
20,FABRICAÇÃO DE CELULOSE E OUTRAS PASTAS PARA A FABRICAÇÃO DE PAPEL,,,,,,,,
20.1,Fabricação de celulose outras pastas para a fabricação de papel,Área útil em m²,Até1.000,"de 1.000,0001 até5.000","de 5.000,0001 até10.000","de 10.000,0001 até30.000",acimade30.000,ALTO,ANEXO II
21,"FABRICAÇÃO DE PAPEL, PAPELÃO LISO, CARTOLINA E CARTÃO",,,,,,,,
21.1,Fabricação de papel,Área útil em m²,Até1.000,"de 1.000,0001 até5.000","de 5.000,0001 até10.000","de 10.000,0001 até30.000",acimade30.000,ALTO,ANEXO II
21.2,"Fabricação de papelão liso, cartolina e cartão",Área útil em m²,Até1.000,"de 1.000,0001 até5.000","de 5.000,0001 até10.000","de 10.000,0001 até30.000",acimade30.000,ALTO,ANEXO II
22,FABRICAÇÃO DE EMBALAGENS DE PAPEL OU PAPELÃO,,,,,,,,
22.1,Fabricação de embalagens de papel,área útil em m²,até500,"de 500,0001 até 2.000","de2.000,0001até 10.000","de10.000,0001 até 30.000",acimade30.000,MÉDIO,ANEXOII
22.2,Fabricação de embalagens de papelão inclusive a fabricação de papelão corrugado,área útil em m²,até500,"de 500,0001 até 2.000","de2.000,0001até 10.000","de10.000,0001 até 30.000",acimade30.000,MÉDIO,ANEXOII
23,"FABRICAÇÃO DE ARTEFATOS DIVERSOS DE PAPEL, PAPELÃO, CARTOLINA E CARTÃO",,,,,,,,
23.1,Fabricação de fitas e formulários contínuos impressos ou não,área útil em m²,até250,"de250,0001até500","de500,0001 até 1.000","de 1000,0001 até 5.000",acimade5000,BAIXO,ANEXOII
23.2,"Fabricação de outros artefatos de pastas, papel, papelão, cartolina e cartão",área útil em m²,até250,"de250,0001até500","de500,0001 até 1.000","de 1000,0001 até 5.000",acimade5000,BAIXO,ANEXOII
24,EDIÇÃO E IMPRESSÃO,,,,,,,,
24.1,"Edição com impressão de jornais, revista e livros.",área útil em m²,até250,"de250,0001até500","de500,0001 até 1.000","de 1000,0001 até 5.000",acimade5000,BAIXO,ANEXOII
24.2,"Edição de discos, fitas e outros materiais gravados",área útil em m²,até250,"de250,0001até500","de500,0001 até 1.000","de 1000,0001 até 5.000",acimade5000,BAIXO,ANEXOII
24.3,"Serviços gráficos, edição, arte com impressão de produtos gráficos.",área útil em m²,até250,"de250,0001até500","de500,0001 até 1.000","de 1000,0001 até 5.000",acimade5000,BAIXO,ANEXOII
25,FABRICAÇÃO DE COMBUSTÍVEIS,,,,,,,,
25.1,Fabricação de álcool,área útil em m²,até5000,"de 5000,0001 até 15.000","de 15.000,0001 até30.000","de30.000,0001 até 50.000",acimade50.000,ALTO,ANEXOII
25.2,Fabricação de biocombustível exceto álcool,área útil em m²,até5000,"de 5000,0001 até 15.000","de 15.000,0001 até30.000","de30.000,0001 até 50.000",acimade50.000,ALTO,ANEXOII
26,FABRICAÇÃO DE PRODUTOS QUÍMICOS INORGÂNICOS,,,,,,,,
26.1,Fabricação de cloro e álcalis,área útil em m²,até250,"de 250,0001 até 2.000","de2.000,0001até 10.000","de10.000,0001 até 30.000",acimade30.000,ALTO,ANEXOII
26.2,Fabricação de intermediários para fertilizantes,área útil em m²,até2000,"de 2000,0001 até 7.000","de7.000,0001até 15.000","de15.000,0001 até 30.000",acimade30.000,ALTO,ANEXOII
26.3,"Fabricação de fertilizantes fosfatados, nitrogenados e potássicos",área útil em m²,até2000,"de 2000,0001 até 7.000","de7.000,0001até 15.000","de15.000,0001 até 30.000",acimade30.000,ALTO,ANEXOII
26.5,Fabricação de outros produtos inorgânicos,área útil em m²,até2000,"de 2000,0001 até 7.000","de7.000,0001até 15.000","de15.000,0001 até 30.000",acimade30.000,ALTO,ANEXOII
27,FABRICAÇÃO DE PRODUTOS PETROQUÍMICOS BÁSICOS,,,,,,,,
27.1,Fabricação de produtos petroquímicos básicos,área útil em m²,até2000,"de 2000,0001 até 7.000","de7.000,0001até 15.000","de15.000,0001 até 30.000",acimade30.000,ALTO,ANEXOII
27.2,Fabricação de intermediários para resinas e fibras,área útil em m²,até2000,"de 2000,0001 até 7.000","de7.000,0001até 15.000","de15.000,0001 até 30.000",acimade30.000,ALTO,ANEXOII
27.3,Fabricação de outros produtos químicos orgânicos,área útil em m²,até2000,"de 2000,0001 até 7.000","de7.000,0001até 15.000","de15.000,0001 até 30.000",acimade30.000,ALTO,ANEXOII
28,FABRICAÇÃO DE RESINAS E ELASTÔMEROS,,,,,,,,
28.1,Fabricação de resinas termoplásticas,área útil em m²,até2000,"de 2000,0001 até 7.000","de7.000,0001até 15.000","de15.000,0001 até 30.000",acimade30.000,ALTO,ANEXOII
28.2,Fabricação de resinas termofixas,área útil em m²,até2000,"de 2000,0001 até 7.000","de7.000,0001até 15.000","de15.000,0001 até 30.000",acimade30.000,ALTO,ANEXOII
28.3,Fabricação de elastômeros,área útil em m²,até2000,"de 2000,0001 até 7.000","de7.000,0001até 15.000","de15.000,0001 até 30.000",acimade30.000,ALTO,ANEXOII
29,"FABRICAÇÃO DE FIBRAS, FIOS, CABOS E FILAMENTOS CONTÍNUOS",,,,,,,,
29.1,"Fabricação de fibras, fios, cabos e filamentos contínuos artificiais",área útil em m²,até2000,"de 2000,0001 até 7.000","de7.000,0001até 15.000","de15.000,0001 até 30.000",acimade30.000,ALTO,ANEXOII
29.2,"Fabricação de fibras, fios, cabos e filamentos contínuos sintéticos",área útil em m²,até2000,"de 2000,0001 até 7.000","de7.000,0001até 15.000","de15.000,0001 até 30.000",acimade30.000,ALTO,ANEXOII
30,FABRICAÇÃO DE PRODUTOS FARMACÊUTICOS,,,,,,,,
30.1,Fabricação de produtos farmoquímicos,área útil em m²,até1000,"de 1000,0001 até 5.000","de5.000,0001até 10.000","de10.000,0001 até 30.000",acimade30.000,ALTO,ANEXOII
30.2,Fabricação de medicamentos para uso humano ou veterinário,área útil em m²,até1000,"de 1000,0001 até 5.000","de5.000,0001até 10.000","de10.000,0001 até 30.000",acimade30.000,ALTO,ANEXOII
30.3,"Fabricação de materiaispara usos médicos, hospitalares e odontológicos",área útil em m²,até1000,"de 1000,0001 até 5.000","de5.000,0001até 10.000","de10.000,0001 até 30.000",acimade30.000,ALTO,ANEXOII
31,FABRICAÇÃO DE DEFENSIVOS AGRÍCOLAS,,,,,,,,
31.1,"Fabricação de inseticidas, fungicidas, herbicidas",área útil em m²,até1000,"de 1000,0001 até 5.000","de5.000,0001até 10.000","de10.000,0001 até 30.000",acimade30.000,ALTO,ANEXOII
31.2,Fabricação de outros defensivos agrícolas,área útil em m²,até1000,"de 1000,0001 até 5.000","de5.000,0001até 10.000","de10.000,0001 até 30.000",acimade30.000,ALTO,ANEXOII
32,"FABRICAÇÃO DE SABÕES, DETERGENTES, PRODUTOS DE LIMPEZA E ARTIGOS DE PERFUMARIA",,,,,,,,
32.1,"Fabricação de sabões, sabonetese detergentes sintéticos",área útil em m²,até250,"de 250,0001 até 2.000","de2.000,0001até 10.000","de10.000,0001 até 30.000",acimade30.000,ALTO,ANEXOII
32.2,Fabricação de produtos de limpeza e polimento,área útil em m²,até250,"de 250,0001 até 2.000","de2.000,0001até 10.000","de10.000,0001 até 30.000",acimade30.000,ALTO,ANEXOII
